Park Code,State(s),Park Name,Designation,Latitude,Longitude,Coordinates,Fee (USD),Fee Type,Fee Description
yell,"ID,MT,WY",Yellowstone National Park,National Park,44.59824417,-110.5471695,"lat:44.59824417, long:-110.5471695",$200.00,Commercial Entrance - Mini-bus,"Based upon the total capacity of a vehicle that can carry 16-25 passengers, regardless of the actual number of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Pass is good for seven days as long as it's the same passenger group."
yell,"ID,MT,WY",Yellowstone National Park,National Park,44.59824417,-110.5471695,"lat:44.59824417, long:-110.5471695",$300.00,Commercial Entrance - Motor Coach,"Based upon the total capacity of a vehicle that can carry 26 or more passengers, regardless of the actual number of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Pass is good for seven days as long as it's the same passenger group."
till,"IL,MS",Emmett Till and Mamie Till-Mobley National Monument,National Monument,33.9711,-90.3698,"lat:33.9711, long:-90.3698",$0.00,No Fee,This location does not charge an entrance fee.
liho,IL,Lincoln Home National Historic Site,National Historic Site,39.79715642,-89.64513397,"lat:39.79715642, long:-89.64513397",$0.00,No Fee,This location does not charge an entrance fee.
neph,IL,New Philadelphia National Historic Site,National Historic Site,39.69803,-90.96131,"lat:39.69803, long:-90.96131",$0.00,No Fee,This location does not charge an entrance fee.
pull,IL,Pullman National Historical Park,National Historical Park,41.69429163,-87.60873824,"lat:41.69429163, long:-87.60873824",$0.00,No Fee,This location does not charge an entrance fee.
spra,IL,Springfield 1908 Race Riot National Monument,National Monument,39.8027,-89.6422,"lat:39.8027, long:-89.6422",$0.00,No Fee,This location does not charge an entrance fee.
gero,IN,George Rogers Clark National Historical Park,National Historical Park,38.67912659,-87.53545212,"lat:38.67912659, long:-87.53545212",$0.00,No Fee,This location does not charge an entrance fee.
indu,IN,Indiana Dunes National Park,National Park,41.63765525,-87.09647445,"lat:41.63765525, long:-87.09647445",$20.00,Entrance - Motorcycle,"7-Day Park Entrance Fee - Motorcycle

Per motorcycle (valid for 1-7 days from date of purchase)"
indu,IN,Indiana Dunes National Park,National Park,41.63765525,-87.09647445,"lat:41.63765525, long:-87.09647445",$25.00,Entrance - Private Vehicle,"7-Day Park Entrance Fee - Family-Size Vehicle

Per private family-sized vehicle (valid for 1-7 days from date of purchase)."
indu,IN,Indiana Dunes National Park,National Park,41.63765525,-87.09647445,"lat:41.63765525, long:-87.09647445",$15.00,Entrance - Per Person,"7-Day Per Person Entrance Fee (Organized, non-commercial groups)

Visitors 16 years of age or older who enter on foot, bicycle, boat, or as part of an organized group not involved in a commercial tour."
indu,IN,Indiana Dunes National Park,National Park,41.63765525,-87.09647445,"lat:41.63765525, long:-87.09647445",$25.00,Commercial Entrance - Sedan,"Entry for commercial sedans with 6 or less people. 

Cost is $25.00 plus $15 per person (not to exceed next highest rate)."
indu,IN,Indiana Dunes National Park,National Park,41.63765525,-87.09647445,"lat:41.63765525, long:-87.09647445",$40.00,Commercial Entrance - Van,"Commercial Tour Fee - Van (7-15 persons) - $40.00

Entry for commercial vans with 7-15 people."
indu,IN,Indiana Dunes National Park,National Park,41.63765525,-87.09647445,"lat:41.63765525, long:-87.09647445",$40.00,Commercial Entrance - Mini-bus,"Commercial Tour Fee - Mini Bus (16-25 persons) - $40.00

Entry for commercial mini bus with 16-25 people."
indu,IN,Indiana Dunes National Park,National Park,41.63765525,-87.09647445,"lat:41.63765525, long:-87.09647445",$100.00,Commercial Entrance - Motor Coach,"Commercial Tour Fee - Motor Coach (26+ persons) - $100.00
Entry for commercial motor coaches with 26+ persons."
libo,IN,Lincoln Boyhood National Memorial,National Memorial,38.11817004,-86.99656861,"lat:38.11817004, long:-86.99656861",$0.00,No Fee,This location does not charge an entrance fee.
brvb,KS,Brown v. Board of Education National Historical Park,National Historical Park,39.03787665,-95.67614437,"lat:39.03787665, long:-95.67614437",$0.00,No Fee,This location does not charge an entrance fee.
fols,KS,Fort Larned National Historic Site,National Historic Site,38.18047491,-99.21836664,"lat:38.18047491, long:-99.21836664",$0.00,No Fee,This location does not charge an entrance fee.
fosc,KS,Fort Scott National Historic Site,National Historic Site,37.84358849,-94.70429174,"lat:37.84358849, long:-94.70429174",$0.00,No Fee,This location does not charge an entrance fee.
nico,KS,Nicodemus National Historic Site,National Historic Site,39.39167606,-99.61680329,"lat:39.39167606, long:-99.61680329",$0.00,No Fee,This location does not charge an entrance fee.
tapr,KS,Tallgrass Prairie National Preserve,National Preserve,38.44023613,-96.5670822,"lat:38.44023613, long:-96.5670822",$0.00,No Fee,This location does not charge an entrance fee.
abli,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,37.5858662,-85.67330523,"lat:37.5858662, long:-85.67330523",$0.00,No Fee,This location does not charge an entrance fee.
biso,"KY,TN",Big South Fork National River & Recreation Area,National River & Recreation Area,36.5348388,-84.66506688,"lat:36.5348388, long:-84.66506688",$0.00,No Fee,This location does not charge an entrance fee.
cane,KY,Camp Nelson National Monument,National Monument,37.7970179913,-84.598168306,"lat:37.7970179913, long:-84.598168306",$0.00,No Fee,This location does not charge an entrance fee.
cuga,"KY,TN,VA",Cumberland Gap National Historical Park,National Historical Park,36.62503076,-83.6114083,"lat:36.62503076, long:-83.6114083",$0.00,No Fee,This location does not charge an entrance fee.
fodo,"KY,TN",Fort Donelson National Battlefield,National Battlefield,36.49019078,-87.92445695,"lat:36.49019078, long:-87.92445695",$0.00,No Fee,This location does not charge an entrance fee.
maca,KY,Mammoth Cave National Park,National Park,37.19760458,-86.13090198,"lat:37.19760458, long:-86.13090198",$0.00,No Fee,This location does not charge an entrance fee.
misp,KY,Mill Springs Battlefield National Monument,National Monument,37.0688158602,-84.7375361304,"lat:37.0688158602, long:-84.7375361304",$0.00,No Fee,This location does not charge an entrance fee.
cari,LA,Cane River Creole National Historical Park,National Historical Park,31.65408447,-93.00131977,"lat:31.65408447, long:-93.00131977",$0.00,No Fee,This location does not charge an entrance fee.
elte,"TX,LA",El Camino Real de los Tejas National Historic Trail,National Historic Trail,30.0922964581,-97.3397666725,"lat:30.0922964581, long:-97.3397666725",$0.00,No Fee,This location does not charge an entrance fee.
jela,LA,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve,29.81739855,-90.1402241,"lat:29.81739855, long:-90.1402241",$0.00,No Fee,This location does not charge an entrance fee.
jazz,LA,New Orleans Jazz National Historical Park,National Historical Park,29.96303129,-90.06749669,"lat:29.96303129, long:-90.06749669",$0.00,No Fee,This location does not charge an entrance fee.
popo,LA,Poverty Point National Monument,National Monument,32.6424361,-91.40829834,"lat:32.6424361, long:-91.40829834",$0.00,No Fee,This location does not charge an entrance fee.
vick,"MS,LA",Vicksburg National Military Park,National Military Park,32.3621286,-90.85030186,"lat:32.3621286, long:-90.85030186",$20.00,Entrance - Private Vehicle,"This pass admits the driver and all passengers in a private, non-commercial vehicle to the park."
vick,"MS,LA",Vicksburg National Military Park,National Military Park,32.3621286,-90.85030186,"lat:32.3621286, long:-90.85030186",$15.00,Entrance - Motorcycle,"Good for 7 days 

You are purchasing a digital site pass that is valid only for weekly entrance fees at Vicksburg National Military Park. The park requires all visitors to pay an entrance fee except children under 16 years of age. The pass covers entry for one motorcycle and passenger."
vick,"MS,LA",Vicksburg National Military Park,National Military Park,32.3621286,-90.85030186,"lat:32.3621286, long:-90.85030186",$10.00,Entrance - Per Person,"Good for 7 days 

You are purchasing a digital site pass that is valid only for weekly entrance fees at Vicksburg National Military Park. The park requires all visitors to pay an entrance fee except children under 16 years of age.  The pass covers entry for one pedestrian or cyclist."
adam,MA,Adams National Historical Park,National Historical Park,42.2553961,-71.01160356,"lat:42.2553961, long:-71.01160356",$1.00,Timed Entry Reservation - Location,"The park offers tours of the historic homes. A reservation is required to attend a guided tour. It is strongly recommended to make reservations in advance on Adams National Historical Park's Recreation.gov page. A limited number of reservations will be available day-of for free on a first-come, first-served basis at the Visitor Center."
adam,MA,Adams National Historical Park,National Historical Park,42.2553961,-71.01160356,"lat:42.2553961, long:-71.01160356",$15.00,Entrance - Per Person,"Entrance into the historic homes at Adams National Historical Park requires an entrance pass. Entrance passes cost $15 per person. Children under the age of 16 are free. If you have an America the Beautiful Interagency Pass, you do not need to pay the entrance fee. Tours can be reserved online in advance at recreation.gov or in-person on the day of your visit at the park’s visitor center. Tour reservations are required in addition to entrance passes."
blrv,"RI,MA",Blackstone River Valley National Historical Park,National Historical Park,41.8775792792,-71.382433945,"lat:41.8775792792, long:-71.382433945",$0.00,No Fee,This location does not charge an entrance fee.
boaf,MA,Boston African American National Historic Site,National Historic Site,42.35908295,-71.06764181,"lat:42.35908295, long:-71.06764181",$0.00,No Fee,This location does not charge an entrance fee.
boha,MA,Boston Harbor Islands National Recreation Area,National Recreation Area,42.30905526,-70.93941138,"lat:42.30905526, long:-70.93941138",$0.00,No Fee,This location does not charge an entrance fee.
bost,MA,Boston National Historical Park,National Historical Park,42.36957407,-71.05536763,"lat:42.36957407, long:-71.05536763",$0.00,No Fee,This location does not charge an entrance fee.
caco,MA,Cape Cod National Seashore,National Seashore,41.92381465,-70.04319832,"lat:41.92381465, long:-70.04319832",$25.00,Entrance - Private Vehicle,"Pass is for one private, non-commercial vehicle — passenger cars, pickup trucks, RVs and vans."
caco,MA,Cape Cod National Seashore,National Seashore,41.92381465,-70.04319832,"lat:41.92381465, long:-70.04319832",$20.00,Entrance - Motorcycle,Pass is for one motorcycle.
caco,MA,Cape Cod National Seashore,National Seashore,41.92381465,-70.04319832,"lat:41.92381465, long:-70.04319832",$15.00,Entrance - Per Person,Pass is for one person 16 years of age or older — entering on foot or by bicycle.
frla,MA,Frederick Law Olmsted National Historic Site,National Historic Site,42.32424266,-71.13202567,"lat:42.32424266, long:-71.13202567",$0.00,No Fee,This location does not charge an entrance fee.
jofi,MA,John Fitzgerald Kennedy National Historic Site,National Historic Site,42.34693694,-71.12323846,"lat:42.34693694, long:-71.12323846",$0.00,No Fee,This location does not charge an entrance fee.
long,MA,Longfellow House Washington's Headquarters National Historic Site,National Historic Site,42.37698854,-71.12636956,"lat:42.37698854, long:-71.12636956",$0.00,No Fee,This location does not charge an entrance fee.
lowe,MA,Lowell National Historical Park,National Historical Park,42.6455371,-71.31588673,"lat:42.6455371, long:-71.31588673",$0.00,No Fee,This location does not charge an entrance fee.
mima,MA,Minute Man National Historical Park,National Historical Park,42.4562778,-71.30738884,"lat:42.4562778, long:-71.30738884",$0.00,No Fee,This location does not charge an entrance fee.
nebe,MA,New Bedford Whaling National Historical Park,National Historical Park,41.63540552,-70.92322321,"lat:41.63540552, long:-70.92322321",$0.00,No Fee,This location does not charge an entrance fee.
sama,MA,Salem Maritime National Historic Site,National Historic Site,42.52024529,-70.88640867,"lat:42.52024529, long:-70.88640867",$0.00,No Fee,This location does not charge an entrance fee.
sair,MA,Saugus Iron Works National Historic Site,National Historic Site,42.46830664,-71.0076953,"lat:42.46830664, long:-71.0076953",$0.00,No Fee,This location does not charge an entrance fee.
spar,MA,Springfield Armory National Historic Site,National Historic Site,42.1086368,-72.57967415,"lat:42.1086368, long:-72.57967415",$0.00,No Fee,This location does not charge an entrance fee.
anti,MD,Antietam National Battlefield,National Battlefield,39.46763452,-77.73828017,"lat:39.46763452, long:-77.73828017",$20.00,Entrance - Private Vehicle,Personal Vehicle/Family: $20.00 for three days
anti,MD,Antietam National Battlefield,National Battlefield,39.46763452,-77.73828017,"lat:39.46763452, long:-77.73828017",$10.00,Entrance - Per Person,"Individual: $10.00 for three days. This fee admits one individual in a vehicle and also includes hikers, bicyclists or pedestrians. Youth 15 and under are admitted free of charge."
anti,MD,Antietam National Battlefield,National Battlefield,39.46763452,-77.73828017,"lat:39.46763452, long:-77.73828017",$15.00,Entrance - Motorcycle,"Motorcycle: $15.00 This fee admits one individual on a private, non-commercial motorcycle for three days."
anti,MD,Antietam National Battlefield,National Battlefield,39.46763452,-77.73828017,"lat:39.46763452, long:-77.73828017",$100.00,Commercial Entrance - Motor Coach,$100 Motor Coach/Commercial Tour Groups with 26 or more people
anti,MD,Antietam National Battlefield,National Battlefield,39.46763452,-77.73828017,"lat:39.46763452, long:-77.73828017",$40.00,Commercial Entrance - Mini-bus,$40 per passenger bus with 16-25 people
anti,MD,Antietam National Battlefield,National Battlefield,39.46763452,-77.73828017,"lat:39.46763452, long:-77.73828017",$25.00,Commercial Entrance - Sedan,$25 per passenger bus/sedan with 1-6 people
anti,MD,Antietam National Battlefield,National Battlefield,39.46763452,-77.73828017,"lat:39.46763452, long:-77.73828017",$0.00,Entrance - Education/Academic Groups,"To request an Academic Fee Waiver for your group, click on the link for further details."
asis,"MD,VA",Assateague Island National Seashore,National Seashore,38.05593172,-75.24524611,"lat:38.05593172, long:-75.24524611",$25.00,Entrance - Private Vehicle,Assateague 7 day vehicle pass.
asis,"MD,VA",Assateague Island National Seashore,National Seashore,38.05593172,-75.24524611,"lat:38.05593172, long:-75.24524611",$20.00,Entrance - Motorcycle,Assateague 7 day motorcycle pass.
asis,"MD,VA",Assateague Island National Seashore,National Seashore,38.05593172,-75.24524611,"lat:38.05593172, long:-75.24524611",$0.00,Entrance - Per Person,Assateague per person walk-in or bicycle
bawa,MD,Baltimore-Washington Parkway,Parkway,39.02604289,-76.85410921,"lat:39.02604289, long:-76.85410921",$0.00,No Fee,This location does not charge an entrance fee.
cato,MD,Catoctin Mountain Park,Park,39.65068457,-77.46417665,"lat:39.65068457, long:-77.46417665",$0.00,No Fee,This location does not charge an entrance fee.
clba,MD,Clara Barton National Historic Site,National Historic Site,38.96762882,-77.14009689,"lat:38.96762882, long:-77.14009689",$0.00,No Fee,This location does not charge an entrance fee.
fofo,MD,Fort Foote Park,Park,38.76901785,-77.02812387,"lat:38.76901785, long:-77.02812387",$0.00,No Fee,This location does not charge an entrance fee.
fomc,MD,Fort McHenry National Monument and Historic Shrine,National Monument and Historic Shrine,39.26395314,-76.58044165,"lat:39.26395314, long:-76.58044165",$15.00,Entrance - Per Person,Access to the historic zone (where the star fort is located) requires an entrance fee.
fomc,MD,Fort McHenry National Monument and Historic Shrine,National Monument and Historic Shrine,39.26395314,-76.58044165,"lat:39.26395314, long:-76.58044165",$15.00,Entrance - Non-commercial Groups,"There is no group rate for the entrance fee. All groups must pay $15 per adult. Children in the groups are free, however, they must be accompanied by an adult in the historic zone. Interagency passes are allowed to be used to assist with group entry fees."
fomc,MD,Fort McHenry National Monument and Historic Shrine,National Monument and Historic Shrine,39.26395314,-76.58044165,"lat:39.26395314, long:-76.58044165",$15.00,Commercial Entrance - Per Person,"All commercial groups wishing to visitor Fort McHenry NM&HS must first obtain a Commercial Use Authorization (CUA). Groups with an active CUA are subject to the same $15 per person fee to enter the historic zone, however their employees conducting business (tour guides, bus drivers, etc.) are not subject to the entrance fee. Interagency passes may be used to assist with fee payment."
fowa,MD,Fort Washington Park,Park,38.7117,-77.0302,"lat:38.7117, long:-77.0302",$0.00,No Fee,This location does not charge an entrance fee.
glec,MD,Glen Echo Park,Park,38.96912315,-77.14012206,"lat:38.96912315, long:-77.14012206",$0.00,No Fee,This location does not charge an entrance fee.
gree,MD,Greenbelt Park,Park,38.98328267,-76.89722133,"lat:38.98328267, long:-76.89722133",$0.00,No Fee,This location does not charge an entrance fee.
hamp,MD,Hampton National Historic Site,National Historic Site,39.4175296,-76.58781182,"lat:39.4175296, long:-76.58781182",$0.00,No Fee,This location does not charge an entrance fee.
haha,MD,Harmony Hall,,38.74646351,-77.00377069,"lat:38.74646351, long:-77.00377069",$0.00,No Fee,This location does not charge an entrance fee.
hafe,"WV,VA,MD",Harpers Ferry National Historical Park,National Historical Park,39.31865949,-77.74088546,"lat:39.31865949, long:-77.74088546",$20.00,Entrance - Private Vehicle,"For a single, private vehicle. Excludes group tours and 7+ passenger vans. Entrance passes are valid for three consecutive days, beginning on date of purchase and are required in all park areas. Fees are payable at the Entrance Station near the park's visitor center, Bolivar Heights, Maryland Heights, Harpers Ferry Train Station, and River Access Parking Lot."
hafe,"WV,VA,MD",Harpers Ferry National Historical Park,National Historical Park,39.31865949,-77.74088546,"lat:39.31865949, long:-77.74088546",$15.00,Entrance - Motorcycle,"Entrance passes are valid for three consecutive days, beginning on date of purchase and are required in all park areas. Fees are payable at the Entrance Station near the park's visitor center, Bolivar Heights, Maryland Heights, Harpers Ferry Train Station, and River Access Parking Lot."
hafe,"WV,VA,MD",Harpers Ferry National Historical Park,National Historical Park,39.31865949,-77.74088546,"lat:39.31865949, long:-77.74088546",$10.00,Entrance - Per Person,"Persons arriving on foot or on bicycle are required to pay the per-person fee. Entrance passes are valid for three consecutive days, beginning on date of purchase and are required in all park areas. Fees are payable at the Entrance Station near the park's visitor center, Bolivar Heights, Maryland Heights, Harpers Ferry Train Station, and River Access Parking Lot."
hatu,MD,Harriet Tubman Underground Railroad National Historical Park,National Historical Park,38.4548643511,-76.1373451376,"lat:38.4548643511, long:-76.1373451376",$0.00,No Fee,This location does not charge an entrance fee.
mono,MD,Monocacy National Battlefield,National Battlefield,39.36084236,-77.39637677,"lat:39.36084236, long:-77.39637677",$0.00,No Fee,This location does not charge an entrance fee.
oxhi,MD,Oxon Cove Park & Oxon Hill Farm,,38.80578214,-77.01131457,"lat:38.80578214, long:-77.01131457",$0.00,No Fee,This location does not charge an entrance fee.
pisc,MD,Piscataway Park,Park,38.6929,-77.067,"lat:38.6929, long:-77.067",$0.00,No Fee,This location does not charge an entrance fee.
thst,MD,Thomas Stone National Historic Site,National Historic Site,38.52934443,-77.037813,"lat:38.52934443, long:-77.037813",$0.00,No Fee,This location does not charge an entrance fee.
acad,ME,Acadia National Park,National Park,44.409286,-68.247501,"lat:44.409286, long:-68.247501",$6.00,Timed Entry Reservation - Location,"Vehicle reservations are not required for any other areas of the park, or for visitors who enter the area by foot, bike, or taxi. Vehicle reservations provide a timed entry, but do not require a departure time until 9 pm, when the road closes to vehicles. Reservations do not permit re-entry. Reservations are per vehicle, not per person. Reservations do not assign a specific parking space. Parking is prohibited outside of designated spaces. Cadillac is not served by the Island Explorer bus system."
acad,ME,Acadia National Park,National Park,44.409286,-68.247501,"lat:44.409286, long:-68.247501",$35.00,Entrance - Private Vehicle,"Valid for seven days. Admits private, non-commercial vehicle (15 passenger capacity or less) and all occupants. This includes rental cars, RVs, and vans with fewer than 16 passengers. If the vehicle pass is purchased, no other pass is necessary."
acad,ME,Acadia National Park,National Park,44.409286,-68.247501,"lat:44.409286, long:-68.247501",$30.00,Entrance - Motorcycle,"Valid for seven days. Admits one or two passengers on a private, non-commercial motorcycle."
acad,ME,Acadia National Park,National Park,44.409286,-68.247501,"lat:44.409286, long:-68.247501",$20.00,Entrance - Per Person,"Valid for seven days. Admits one individual with no car (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge."
acad,ME,Acadia National Park,National Park,44.409286,-68.247501,"lat:44.409286, long:-68.247501",$0.00,Entrance - Education/Academic Groups,"School groups and other academic institutions may qualify for an Educational Fee Waiver. If not qualified, please check fees for large or commercial groups."
acad,ME,Acadia National Park,National Park,44.409286,-68.247501,"lat:44.409286, long:-68.247501",$0.00,Entrance - Non-commercial Groups,"Groups entering Acadia by bus, van, or other high-capacity vehicles (16 people or more) must pay an organized group entrance fee.

Adults (16 years old and over): $20/per person
Youth (15 years old and under): Free"
acad,ME,Acadia National Park,National Park,44.409286,-68.247501,"lat:44.409286, long:-68.247501",$0.00,Commercial Entrance - Per Person,"Are you operating a business that provides leisure or recreational services while in the park? If so, it is considered a commercial group and you are required to have a Commercial Use Authorization.

A commercial group is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provisions of the service. Learn more on our ""Do Business With Us"" page."
kaww,ME,Katahdin Woods and Waters National Monument,National Monument,45.9567565918,-68.7122879028,"lat:45.9567565918, long:-68.7122879028",$0.00,No Fee,This location does not charge an entrance fee.
maac,ME,Maine Acadian Culture,,47.25102114,-68.59447532,"lat:47.25102114, long:-68.59447532",$0.00,No Fee,This location does not charge an entrance fee.
roca,ME,Roosevelt Campobello International Park,International Park,44.8736,-66.9621,"lat:44.8736, long:-66.9621",$0.00,No Fee,This location does not charge an entrance fee.
sacr,ME,Saint Croix Island International Historic Site,International Historic Site,45.12858838,-67.13363651,"lat:45.12858838, long:-67.13363651",$0.00,No Fee,This location does not charge an entrance fee.
isro,MI,Isle Royale National Park,National Park,48.01145819,-88.82780657,"lat:48.01145819, long:-88.82780657",$7.00,Entrance - Per Person,"$7 per person per day to enter or remain in Isle Royale National Park. Children 15 and younger are exempt.

Visiting Park Headquarters in Houghton, MI does not require a fee."
kewe,MI,Keweenaw National Historical Park,National Historical Park,47.1792308,-88.52275344,"lat:47.1792308, long:-88.52275344",$0.00,No Fee,This location does not charge an entrance fee.
noco,"MI,MN,ND,NY,OH,PA,VT,WI",North Country National Scenic Trail,National Scenic Trail,46.334400743,-90.8165630499,"lat:46.334400743, long:-90.8165630499",$0.00,No Fee,This location does not charge an entrance fee.
piro,MI,Pictured Rocks National Lakeshore,National Lakeshore,46.56435642,-86.31628733,"lat:46.56435642, long:-86.31628733",$25.00,Entrance - Private Vehicle,This pass admits the driver and all passengers in a private-use vehicle for seven consecutive days to all areas of Pictured Rocks National Lakeshore. This fee does not cover additional fees associated with activities such as camping or commercial tours.
piro,MI,Pictured Rocks National Lakeshore,National Lakeshore,46.56435642,-86.31628733,"lat:46.56435642, long:-86.31628733",$20.00,Entrance - Motorcycle,This pass admits a motorcyclist and passenger (if applicable) to all areas of Pictured Rocks National Lakeshore for 7 consecutive days. This fee does not cover additional fees associated with activities such as camping or commercial tours.
piro,MI,Pictured Rocks National Lakeshore,National Lakeshore,46.56435642,-86.31628733,"lat:46.56435642, long:-86.31628733",$15.00,Entrance - Snowmobile,This pass admits a snowmobile to all parts of Pictured Rocks National Lakeshore for 7 consecutive days. This fee does not cover additional fees associated with activities such as camping or commercial tours.
piro,MI,Pictured Rocks National Lakeshore,National Lakeshore,46.56435642,-86.31628733,"lat:46.56435642, long:-86.31628733",$15.00,Entrance - Per Person,"This pass admits one walk-in, bicycle-in, or boat-in person to all parts of Pictured Rocks National Lakeshore. This fee does not cover additional fees associated with activities such as camping or commercial tours."
piro,MI,Pictured Rocks National Lakeshore,National Lakeshore,46.56435642,-86.31628733,"lat:46.56435642, long:-86.31628733",$25.00,Commercial Entrance - Sedan,"This admits a commercial sedan to all areas of Pictured Rocks National Lakeshore. The flat rate for this pass is $25, plus an additional $5 per person age 16+. This fee does not cover additional fees associated with activities such as camping or commercial tours."
piro,MI,Pictured Rocks National Lakeshore,National Lakeshore,46.56435642,-86.31628733,"lat:46.56435642, long:-86.31628733",$40.00,Commercial Entrance - Van,"This pass admits a commercial van with a capacity of 7-16 persons, regardless of capacity, to all parts of Pictured Rocks National Lakeshore. This fee does not cover additional fees associated with activities such as camping or commercial tours."
piro,MI,Pictured Rocks National Lakeshore,National Lakeshore,46.56435642,-86.31628733,"lat:46.56435642, long:-86.31628733",$40.00,Commercial Entrance - Mini-bus,This fee admits a commercial mini-bus to all parts of Pictured Rocks National Lakeshore. A mini-bus is defined as a vehicle with a 16-25 person capacity. The fee is charged regardless of occupancy of the vehicle. This fee does not cover additional fees associated with activities such as camping or commercial tours.
piro,MI,Pictured Rocks National Lakeshore,National Lakeshore,46.56435642,-86.31628733,"lat:46.56435642, long:-86.31628733",$100.00,Commercial Entrance - Motor Coach,"This fee applies to commercial vehicles with a 26+ person vehicle capacity, regardless of occupancy. This fee does not cover additional fees associated with activities such as camping or commercial tours."
rira,MI,River Raisin National Battlefield Park,National Battlefield Park,41.91291085,-83.37620464,"lat:41.91291085, long:-83.37620464",$0.00,No Fee,This location does not charge an entrance fee.
slbe,MI,Sleeping Bear Dunes National Lakeshore,National Lakeshore,44.92844962,-86.02706591,"lat:44.92844962, long:-86.02706591",$25.00,Commercial Entrance - Sedan,"Sedan
1-6 Person Capacity
$25.00 + $10.00 Per Person 16 years or older (up to a maximum of $40.00)"
slbe,MI,Sleeping Bear Dunes National Lakeshore,National Lakeshore,44.92844962,-86.02706591,"lat:44.92844962, long:-86.02706591",$40.00,Commercial Entrance - Van,"Van
7-15 Person Capacity
$40.00"
slbe,MI,Sleeping Bear Dunes National Lakeshore,National Lakeshore,44.92844962,-86.02706591,"lat:44.92844962, long:-86.02706591",$40.00,Commercial Entrance - Mini-bus,"Mini Bus
16-25 Person Capacity
$40.00"
slbe,MI,Sleeping Bear Dunes National Lakeshore,National Lakeshore,44.92844962,-86.02706591,"lat:44.92844962, long:-86.02706591",$100.00,Commercial Entrance - Motor Coach,"Motorcoach
26+ Person Capacity
$100.00"
slbe,MI,Sleeping Bear Dunes National Lakeshore,National Lakeshore,44.92844962,-86.02706591,"lat:44.92844962, long:-86.02706591",$25.00,Entrance - Private Vehicle,Entrance pass - vehicle 1-7 day.
grpo,MN,Grand Portage National Monument,National Monument,47.99294217,-89.75573031,"lat:47.99294217, long:-89.75573031",$0.00,No Fee,This location does not charge an entrance fee.
miss,MN,Mississippi National River & Recreation Area,National River & Recreation Area,44.942487,-93.098712,"lat:44.942487, long:-93.098712",$0.00,No Fee,This location does not charge an entrance fee.
pipe,MN,Pipestone National Monument,National Monument,44.01351958,-96.32475523,"lat:44.01351958, long:-96.32475523",$0.00,No Fee,This location does not charge an entrance fee.
sacn,"WI,MN",Saint Croix National Scenic Riverway,National Scenic Riverway,45.70019235,-92.36126685,"lat:45.70019235, long:-92.36126685",$0.00,No Fee,This location does not charge an entrance fee.
voya,MN,Voyageurs National Park,National Park,48.48370609,-92.8382913,"lat:48.48370609, long:-92.8382913",$0.00,No Fee,This location does not charge an entrance fee.
jeff,MO,Gateway Arch National Park,National Park,38.6258069,-90.1892508,"lat:38.6258069, long:-90.1892508",$19.00,Timed Entry Reservation - Location,"Prices vary by date of visit. 

Begin your tour with an interactive pre-boarding experience featuring 60s-inspired animation and Gateway Arch trivia. Then, be transported 630 feet to the top of Arch for exhilarating views. Please allow 45 - 60 minutes for your Tram Ride to the Top experience.

Adult (16 and up): Starting at $15
Child (3-15): Starting at $11
Infant (2 and under): FREE
Park Pass Holder: Starting at $12

Tickets available at www.gatewayarch.com"
gwca,MO,George Washington Carver National Monument,National Monument,36.9871322,-94.35522737,"lat:36.9871322, long:-94.35522737",$0.00,No Fee,This location does not charge an entrance fee.
hstr,MO,Harry S Truman National Historic Site,National Historic Site,38.92711967,-94.5162488,"lat:38.92711967, long:-94.5162488",$0.00,No Fee,This location does not charge an entrance fee.
ozar,MO,Ozark National Scenic Riverways,National Scenic Riverways,37.13968894,-91.25709817,"lat:37.13968894, long:-91.25709817",$0.00,No Fee,This location does not charge an entrance fee.
stge,MO,Ste. Geneviève National Historical Park,National Historical Park,37.9792171421,-90.0432157516,"lat:37.9792171421, long:-90.0432157516",$0.00,No Fee,This location does not charge an entrance fee.
ulsg,MO,Ulysses S Grant National Historic Site,National Historic Site,38.55182374,-90.35169255,"lat:38.55182374, long:-90.35169255",$0.00,No Fee,This location does not charge an entrance fee.
wicr,MO,Wilson's Creek National Battlefield,National Battlefield,37.1000127,-93.40986704,"lat:37.1000127, long:-93.40986704",$0.00,No Fee,This location does not charge an entrance fee.
brcr,MS,Brices Cross Roads National Battlefield Site,National Battlefield Site,34.50611958,-88.72889343,"lat:34.50611958, long:-88.72889343",$0.00,No Fee,This location does not charge an entrance fee.
memy,MS,Medgar and Myrlie Evers Home National Monument,National Monument,32.34096274,-90.21264553,"lat:32.34096274, long:-90.21264553",$0.00,Park Entrance Fee,"There are no fees associated with Medgar and Myrlie Evers Home National Monument.

Mississippi Civil Rights Museum does charge an admission fee to view exhibits."
